name,n_ventas,unidades,revenue,margin,margin_pct
Scanner venoso portátil,824,1586,634384.14,253760.0,40.0
Purificador HEPA Pro,890,1732,606182.68,242480.0,40.0
Silla de ruedas plegable,820,1626,487783.74,195120.0,40.0
Colchón ortopédico premium,848,1604,481183.96,192480.0,40.0
Báscula profesional médica,903,1775,443732.25,177500.0,40.0
Kit de oxigenoterapia,767,1560,389984.4,156000.0,40.0
Colchón antiescaras,857,1672,334232.8,133693.12,40.0
Análisis corporal avanzado,833,1639,311393.61,124564.0,40.0
Silla ortopédica ajustable,804,1520,303984.8,121600.0,40.0
Detector apnea portátil,826,1605,288883.95,115560.0,40.0
Camilla plegable portátil,884,1646,263343.54,105344.0,40.0
Electrocardiógrafo portátil,817,1590,254384.1,101760.0,40.0
Electroestimulador muscular,818,1592,238640.8,95456.32,40.0
Masajeador de manos,806,1591,238634.09,95460.0,40.0
Monitor respiratorio,855,1680,235183.2,94080.0,40.0
Purificador de aire,796,1541,231134.59,92460.0,40.0
Masajeador de pies Shiatsu,865,1718,223168.2,89267.28,40.0
Monitor ECG portátil,884,1691,219813.09,87932.0,40.0
Andador ligero,838,1652,214594.8,85837.92,40.0
Lámpara terapéutica SAD,816,1621,210713.79,84292.0,40.0
Tensiómetro profesional,860,1690,202783.1,81120.0,40.0
Lámpara dermatológica UV,768,1574,188722.6,75489.04,40.0
Colchoneta vibratoria,833,1649,164883.51,65960.0,40.0
Monitor sueño portátil,839,1648,164625.21,65844.09,40.0
Corrector dental eléctrico,930,1811,162971.89,65196.0,40.0
Depurador de aire portátil,802,1552,155044.8,62017.92,40.0
Masajeador cervical,866,1713,154152.87,61668.0,40.0
Lámpara de fototerapia,811,1669,150034.11,60008.25,40.0
Sonda de electroestimulación,868,1664,133103.36,53248.0,40.0
Monitor de glucosa,864,1660,132775.4,53112.0,40.0
Monitor fetal portátil,782,1514,121104.86,48448.0,40.0
Nebulizador ultrasónico,780,1573,110094.27,44044.0,40.0
Lámpara infrarroja terapéutica,735,1495,104500.5,41800.2,40.0
Terapia TENS portátil,892,1733,103962.67,41592.0,40.0
Bastón inteligente,854,1671,100243.29,40104.0,40.0
Tensiómetro digital,768,1479,88713.21,35484.0,40.0
Nebulizador pediátrico,749,1523,83612.7,33445.08,40.0
Tensiómetro de muñeca,859,1652,82583.48,33040.0,40.0
Corrector lumbares calefactable,836,1623,81133.77,32460.0,40.0
Cepillo dental sónico,785,1541,76895.9,30758.36,40.0
Lámpara UV desinfectante,881,1730,69027.0,27610.8,40.0
Muletas ergonómicas,885,1724,68787.6,27515.04,40.0
Corrector postura electrónico,870,1696,67823.04,27136.0,40.0
Báscula inteligente,846,1657,57978.43,23198.0,40.0
Oxímetro de pulso,848,1647,49390.53,19761.0,40.0
Terapia frío/calor,864,1685,43793.15,17524.0,40.0
Dispensador automático gel,911,1749,43707.51,17490.0,40.0
Termómetro infrarrojo,892,1704,42424.62,16966.86,40.0
Tiras reactivas glucosa (pack),885,1698,33943.02,13584.0,40.0
Sensor temperatura inteligente,697,1426,28505.74,11408.0,40.0
